"date","total","acc_injured","injured","died","drunk","no_license","overspeed","pedestrians","crosswalk","report","temp.0","wind_direction.0","wind_speed.0","weather_code.0","cloudiness.0","visibility.0","humidity.0","pressure.0","temp.3","wind_direction.3","wind_speed.3","weather_code.3","cloudiness.3","visibility.3","humidity.3","pressure.3","temp.6","wind_direction.6","wind_speed.6","weather_code.6","cloudiness.6","visibility.6","humidity.6","pressure.6","temp.9","wind_direction.9","wind_speed.9","weather_code.9","cloudiness.9","visibility.9","humidity.9","pressure.9","temp.12","wind_direction.12","wind_speed.12","weather_code.12","cloudiness.12","visibility.12","humidity.12","pressure.12","temp.15","wind_direction.15","wind_speed.15","weather_code.15","cloudiness.15","visibility.15","humidity.15","pressure.15","temp.18","wind_direction.18","wind_speed.18","weather_code.18","cloudiness.18","visibility.18","humidity.18","pressure.18","temp.21","wind_direction.21","wind_speed.21","weather_code.21","cloudiness.21","visibility.21","humidity.21","pressure.21"
"2015-08-02",32,1,1,0,13,23,235,134,70,"За прошедшие сутки в городе Минске зарегистрировано 32 дорожно-транспортных происшествия, 1 ДТП с пострадавшим, в котором 1 человек получил ранения. За прошедшие сутки в городе Минске задержано 13 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 23 водителя не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 235 водителей. Привлечено к административной ответственности 134 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 70 водителей.",9.5,"","0","CL",0,10,92,1024,8.1,"","0","CL",0,10,95,1025,16.2,"","0","CL",0,10,60,1025,19.4,"SW","1","CL",6,10,46,1025,21.9,"S","2","CL",6,10,39,1024,23.2,"SW","1","CL",3,10,34,1023,20.5,"","0","CL",1,10,44,1023,15.5,"","0","CL",0,10,67,1024
"2015-08-03",36,2,2,0,14,28,234,133,62,"За прошедшие сутки в городе Минске зарегистрировано 36 дорожно-транспортных происшествий, 2 ДТП с пострадавшим, в котором 2 человека получили ранения. За прошедшие сутки в городе Минске задержано 14 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 28 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 234 водителя. Привлечено к административной ответственности 133 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 62 водителя.",14.5,"","0","CL",0,10,69,1024,13.4,"","0","CL",7,10,76,1023,19.5,"","0","CL",7,10,51,1022,25.3,"SW","1","CL",7,10,43,1021,28.3,"SW","1","CL",7,10,33,1020,28.7,"SW","1","CL",6,10,32,1020,25.6,"W","2","CL",0,10,37,1020,19.1,"","0","CL",0,10,59,1021
"2015-08-04",77,1,1,0,12,30,118,216,113,"За прошедшие сутки в городе Минске зарегистрировано 77 дорожно-транспортных происшествий, 1 ДТП с пострадавшим, в котором 1 человек получил ранения. За прошедшие сутки в городе Минске задержано 12 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 30 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 118 водителей. Привлечено к административной ответственности 216 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 113 водителей.",16.6,"","0","CL",0,10,70,1021,14.8,"","0","CL",0,10,86,1021,23.8,"","0","CL",1,10,48,1021,29.8,"S","1","CL",7,10,30,1020,29.4,"E","1","CL",7,10,30,1019,31,"NW","1","CL",7,10,28,1018,27.7,"N","1","CL",0,10,38,1018,23.4,"N","1","CL",0,10,54,1019
"2015-08-05",60,2,2,0,8,32,115,191,135,"За прошедшие сутки в городе Минске зарегистрировано 60 дорожно-транспортных происшествий, 2 ДТП с пострадавшими, в которых 2 человека получили ранения. За прошедшие сутки в городе Минске задержано 8 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 32 водителя не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 115 водителей. Привлечен к административной ответственности 191 пешеход - нарушитель. За нарушение правил проезда пешеходных переходов привлечено к ответственности 135 водителей.",20.5,"E","1","CL",0,10,59,1019,17.4,"","0","CL",0,10,76,1020,24.2,"S","1","CL",0,10,55,1020,30.3,"SW","1","CL",1,10,36,1019,32.2,"SW","1","CL",1,10,30,1018,32.3,"S","1","CL",3,10,28,1017,28.4,"SW","1","CL",1,10,36,1018,25,"SE","2","CL",0,10,52,1019
"2015-08-06",85,1,6,0,7,25,116,222,175,"За прошедшие сутки в городе Минске зарегистрировано 85 дорожно-транспортных происшествий, 1 ДТП с пострадавшими, в котором 6 человек получили ранения. За прошедшие сутки в городе Минске задержано 7 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 25 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 116 водителей. Привлечено к административной ответственности 222 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 175 водителей.",21.6,"E","1","CL",0,10,62,1020,18.7,"","0","CL",0,10,76,1020,25,"","0","CL",1,10,59,1020,31.1,"S","1","CL",1,10,38,1020,33.2,"S","2","CL",7,10,26,1019,31.8,"SW","1","CL",6,10,30,1018,29.3,"SW","1","CL",6,10,33,1019,24.9,"SE","1","CL",1,10,49,1020
"2015-08-07",92,0,0,0,9,23,149,203,141,"За прошедшие сутки в городе Минске зарегистрировано 92 дорожно-транспортных происшествия, ДТП с пострадавшими не зарегистрированы. За прошедшие сутки в городе Минске задержано 9 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 23 водителя не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 149 водителей. Привлечено к административной ответственности 203 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечен к ответственности 141 водитель.",21.3,"SE","1","CL",3,10,62,1021,19.2,"","0","CL",6,10,71,1022,25.3,"SW","2","CL",1,10,51,1022,31.4,"SW","2","CL",0,10,34,1021,33.4,"S","3","CL",1,10,25,1021,33.8,"SW","3","CL",1,10,24,1020,29.6,"SW","1","CL",0,10,35,1021,24.3,"S","1","CL",0,10,51,1022
"2015-08-08",75,1,2,0,8,20,114,209,155,"За прошедшие сутки в городе Минске зарегистрировано 75 дорожно-транспортных происшествий, 1 ДТП с пострадавшими, в котором 2 человека получили ранения. За прошедшие сутки в городе Минске задержано 8 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 20 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 114 водителей. Привлечено к административной ответственности 209 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 155 водителей.",22.1,"NE","1","CL",0,10,58,1022,19.4,"S","1","CL",1,10,71,1023,25.6,"S","1","CL",3,10,49,1022,32,"SW","2","CL",1,10,36,1022,34.6,"S","2","CL",6,10,24,1021,33.7,"SW","1","CL",3,10,28,1020,30.2,"SW","1","CL",0,10,33,1020,24.3,"","0","CL",0,10,47,1020
"2015-08-09",43,0,0,0,12,31,211,178,54,"За прошедшие сутки в городе Минске зарегистрировано 43 дорожно-транспортных происшествия, ДТП с пострадавшими не зарегистрированы. За прошедшие сутки в городе Минске задержано 12 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 31 водитель не имел права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 211 водителей. Привлечено к административной ответственности 178 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечен к ответственности 54 водителя.",22.1,"","0","CL",0,10,52,1020,20,"","0","CL",0,10,58,1020,25.2,"S","2","CL",0,10,41,1019,32,"S","1","CL",0,10,30,1018,33.9,"SW","2","CL",1,10,23,1017,33.7,"SW","1","CL",1,10,25,1016,30.2,"NW","1","CL",3,10,32,1016,24.8,"NW","1","CL",0,10,58,1017
"2015-08-10",35,0,0,0,15,18,217,159,76,"За прошедшие сутки в городе Минске зарегистрировано 35 дорожно-транспортных происшествий, ДТП с пострадавшими не зарегистрированы. За прошедшие сутки в городе Минске задержано 15 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 18 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 217 водителей. Привлечено к административной ответственности 159 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 76 водителей.",22.3,"E","1","CL",1,10,70,1018,21.2,"E","1","CL",7,10,77,1017,20.2,"N","1","SHRA",9,10,89,1017,23,"N","1","CL",7,10,75,1018,28.1,"SW","1","CL",6,10,45,1017,29.6,"SW","1","CL",3,10,36,1016,26.3,"N","1","CL",1,10,54,1016,22,"NE","2","CL",1,10,65,1017
"2015-08-11",86,2,2,0,12,24,90,224,136,"За прошедшие сутки в городе Минске зарегистрировано 86 дорожно-транспортных происшествий, 2 ДТП с пострадавшими, в которых 2 человека получили ранения. За прошедшие сутки в городе Минске задержано 12 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 24 водителя не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 90 водителей. Привлечено к административной ответственности 224 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 136 водителей.",21.2,"N","1","CL",6,10,71,1017,19.9,"N","1","CL",6,10,77,1018,23,"NE","1","CL",6,10,66,1017,30,"NE","1","CL",0,10,47,1017,33.4,"SE","2","CL",6,10,28,1016,32.1,"SE","2","CL",6,10,28,1016,29.5,"SE","1","CL",0,10,28,1017,23.6,"","0","CL",0,10,47,1018
